segment,factors,bin_label,n,win_roi,place_roi,confidence
GLOBAL,yuso_kubun+chokyoshimei,2|大和田成,421,115.1,79.5,0.716
GLOBAL,yuso_kubun+chokyoshimei,2|大江原哲,267,77.2,71.2,0.633
GLOBAL,yuso_kubun+chokyoshimei,2|大竹正博,493,67.5,78.4,0.743
GLOBAL,yuso_kubun+chokyoshimei,2|天間昭一,279,16.4,51.0,0.641
GLOBAL,yuso_kubun+chokyoshimei,2|奥平雅士,484,51.8,75.9,0.74
GLOBAL,yuso_kubun+chokyoshimei,2|奥村武,493,101.3,83.3,0.743
GLOBAL,yuso_kubun+chokyoshimei,2|宗像義忠,561,119.7,87.8,0.764
GLOBAL,yuso_kubun+chokyoshimei,2|宮田敬介,182,48.9,59.5,0.559
GLOBAL,yuso_kubun+chokyoshimei,2|小島太,170,35.7,73.8,0.546
GLOBAL,yuso_kubun+chokyoshimei,2|小島茂之,394,74.7,69.4,0.704
GLOBAL,yuso_kubun+chokyoshimei,2|小手川準,208,35.6,83.6,0.585
GLOBAL,yuso_kubun+chokyoshimei,2|小桧山悟,280,61.8,73.8,0.642
GLOBAL,yuso_kubun+chokyoshimei,2|小笠倫弘,434,80.7,75.6,0.721
GLOBAL,yuso_kubun+chokyoshimei,2|小西一男,378,93.6,71.1,0.697
GLOBAL,yuso_kubun+chokyoshimei,2|小野次郎,393,123.1,86.1,0.704
GLOBAL,yuso_kubun+chokyoshimei,2|尾形充弘,172,126.9,78.1,0.548
GLOBAL,yuso_kubun+chokyoshimei,2|尾形和幸,531,61.5,56.1,0.755
GLOBAL,yuso_kubun+chokyoshimei,2|尾関知人,584,61.3,66.7,0.77
GLOBAL,yuso_kubun+chokyoshimei,2|岩戸孝樹,531,51.9,62.6,0.755
GLOBAL,yuso_kubun+chokyoshimei,2|平田修,32,76.4,72.8,0.272
GLOBAL,yuso_kubun+chokyoshimei,2|成島英春,32,11.5,87.3,0.272
GLOBAL,yuso_kubun+chokyoshimei,2|戸田博文,541,65.6,74.9,0.758
GLOBAL,yuso_kubun+chokyoshimei,2|手塚貴久,669,68.6,78.7,0.791
GLOBAL,yuso_kubun+chokyoshimei,2|斎藤誠,731,88.6,72.5,0.804
GLOBAL,yuso_kubun+chokyoshimei,2|新谷功一,37,11.6,41.6,0.291
GLOBAL,yuso_kubun+chokyoshimei,2|新開幸一,413,56.2,67.7,0.713
GLOBAL,yuso_kubun+chokyoshimei,2|昆貢,39,209.4,150.6,0.298
GLOBAL,yuso_kubun+chokyoshimei,2|星野忍,129,63.4,71.2,0.494
GLOBAL,yuso_kubun+chokyoshimei,2|木村哲也,396,115.7,96.2,0.705
GLOBAL,yuso_kubun+chokyoshimei,2|本田優,50,173.4,106.7,0.333
GLOBAL,yuso_kubun+chokyoshimei,2|本間忍,344,51.9,73.8,0.68
GLOBAL,yuso_kubun+chokyoshimei,2|杉山晴紀,36,44.2,82.9,0.287
GLOBAL,yuso_kubun+chokyoshimei,2|杉浦宏昭,391,76.5,61.9,0.703
GLOBAL,yuso_kubun+chokyoshimei,2|村田一誠,157,40.3,62.9,0.531
GLOBAL,yuso_kubun+chokyoshimei,2|松山将樹,356,144.6,104.8,0.686
GLOBAL,yuso_kubun+chokyoshimei,2|松永幹夫,36,27.5,67.8,0.287
GLOBAL,yuso_kubun+chokyoshimei,2|松永康利,327,42.7,75.9,0.671
GLOBAL,yuso_kubun+chokyoshimei,2|林徹,257,69.9,70.7,0.625
GLOBAL,yuso_kubun+chokyoshimei,2|柄崎孝,130,36.1,43.7,0.495
GLOBAL,yuso_kubun+chokyoshimei,2|柴田政人,96,29.3,67.1,0.44
GLOBAL,yuso_kubun+chokyoshimei,2|栗田博憲,196,49.5,92.3,0.573
GLOBAL,yuso_kubun+chokyoshimei,2|栗田徹,547,49.0,75.9,0.76
GLOBAL,yuso_kubun+chokyoshimei,2|根本康広,359,76.7,77.7,0.688
GLOBAL,yuso_kubun+chokyoshimei,2|梅田智之,31,194.5,81.4,0.268
GLOBAL,yuso_kubun+chokyoshimei,2|森一誠,53,154.4,92.8,0.342
GLOBAL,yuso_kubun+chokyoshimei,2|橋田満,34,29.5,39.0,0.28
GLOBAL,yuso_kubun+chokyoshimei,2|武井亮,558,89.6,78.1,0.763
GLOBAL,yuso_kubun+chokyoshimei,2|武市康男,584,85.0,70.5,0.77
GLOBAL,yuso_kubun+chokyoshimei,2|武英智,31,74.2,91.0,0.268
GLOBAL,yuso_kubun+chokyoshimei,2|武藤善則,566,51.8,81.7,0.765
GLOBAL,yuso_kubun+chokyoshimei,2|水野貴広,538,88.3,79.6,0.757
GLOBAL,yuso_kubun+chokyoshimei,2|池上昌和,456,89.0,70.2,0.73
GLOBAL,yuso_kubun+chokyoshimei,2|池上昌弘,130,256.7,106.9,0.495
GLOBAL,yuso_kubun+chokyoshimei,2|池添兼雄,45,25.7,77.9,0.318
GLOBAL,yuso_kubun+chokyoshimei,2|浅野洋一郎,167,116.3,112.5,0.543
GLOBAL,yuso_kubun+chokyoshimei,2|深山雅史,265,144.8,103.4,0.631
GLOBAL,yuso_kubun+chokyoshimei,2|清水久詞,49,32.2,125.0,0.33
GLOBAL,yuso_kubun+chokyoshimei,2|清水英克,439,108.9,106.7,0.723
GLOBAL,yuso_kubun+chokyoshimei,2|渡辺薫彦,36,127.1,41.3,0.287
GLOBAL,yuso_kubun+chokyoshimei,2|牧光二,645,83.6,89.2,0.786
GLOBAL,yuso_kubun+chokyoshimei,2|牧浦充徳,49,148.1,73.6,0.33
GLOBAL,yuso_kubun+chokyoshimei,2|牧田和弥,47,222.4,116.2,0.324
GLOBAL,yuso_kubun+chokyoshimei,2|田中克典,33,66.4,61.0,0.276
