bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
川島信二|6,40,2,,5.0,,14.2,61.1,X
川島信二|7,51,3,,5.9,,26.1,75.1,X
川島信二|8,48,2,,4.2,,10.8,29.6,X
川田将雅|1,313,84,,26.8,,97.0,92.0,O
川田将雅|2,343,84,,24.5,,83.6,85.1,O
川田将雅|3,354,65,,18.4,,55.5,78.4,X
川田将雅|4,348,87,,25.0,,97.9,89.8,O
川田将雅|5,414,115,,27.8,,100.9,98.5,O
川田将雅|6,431,101,,23.4,,94.1,85.2,O
川田将雅|7,448,112,,25.0,,93.4,83.2,O
川田将雅|8,501,116,,23.2,,77.0,81.0,O
川須栄彦|1,98,4,,4.1,,78.1,39.5,X
川須栄彦|2,93,4,,4.3,,134.6,131.7,O
川須栄彦|3,110,3,,2.7,,49.4,90.7,O
川須栄彦|4,103,6,,5.8,,97.7,55.9,X
川須栄彦|5,114,4,,3.5,,134.2,87.3,O
川須栄彦|6,124,2,,1.6,,4.2,69.1,X
川須栄彦|7,125,7,,5.6,,45.8,88.5,O
川須栄彦|8,122,7,,5.7,,139.6,46.7,X
幸英明|1,359,27,,7.5,,102.3,91.2,O
幸英明|2,333,28,,8.4,,95.3,76.6,X
幸英明|3,341,30,,8.8,,93.0,72.3,X
幸英明|4,390,26,,6.7,,72.3,57.7,X
幸英明|5,378,21,,5.6,,50.7,73.7,X
幸英明|6,439,32,,7.3,,96.9,87.9,O
幸英明|7,461,29,,6.3,,32.7,70.4,X
幸英明|8,516,25,,4.8,,89.2,67.4,X
戸崎圭太|1,411,72,,17.5,,93.3,86.5,O
戸崎圭太|2,421,47,,11.2,,43.7,70.8,X
戸崎圭太|3,465,87,,18.7,,119.1,88.7,O
戸崎圭太|4,478,94,,19.7,,70.4,84.8,O
戸崎圭太|5,487,66,,13.6,,66.5,77.8,X
戸崎圭太|6,531,88,,16.6,,76.7,83.5,O
戸崎圭太|7,598,78,,13.0,,52.0,80.9,O
戸崎圭太|8,567,90,,15.9,,61.3,72.9,X
斎藤新|1,159,10,,6.3,,58.0,72.3,X
斎藤新|2,175,14,,8.0,,129.9,70.5,X
斎藤新|3,179,9,,5.0,,43.2,74.3,X
斎藤新|4,199,14,,7.0,,69.5,86.2,O
斎藤新|5,186,13,,7.0,,159.0,81.5,O
斎藤新|6,200,14,,7.0,,116.9,91.9,O
斎藤新|7,233,12,,5.2,,45.6,65.1,X
斎藤新|8,271,17,,6.3,,116.4,81.5,O
木幡初也|1,71,6,,8.5,,44.9,48.8,X
木幡初也|2,72,2,,2.8,,16.5,70.3,X
木幡初也|3,62,3,,4.8,,191.6,67.3,X
木幡初也|4,71,2,,2.8,,100.3,58.0,X
木幡初也|5,75,3,,4.0,,39.8,54.1,X
木幡初也|6,74,5,,6.8,,136.6,96.5,O
木幡初也|7,72,3,,4.2,,63.2,34.0,X
木幡初也|8,90,2,,2.2,,100.0,84.9,O
木幡巧也|1,179,8,,4.5,,150.9,78.3,X
木幡巧也|2,188,12,,6.4,,58.7,63.2,X
木幡巧也|3,202,11,,5.4,,56.7,56.5,X
木幡巧也|4,216,10,,4.6,,71.3,67.4,X
木幡巧也|5,210,13,,6.2,,94.9,104.5,O
木幡巧也|6,232,13,,5.6,,62.2,68.4,X
木幡巧也|7,250,23,,9.2,,142.0,84.8,O
木幡巧也|8,205,12,,5.9,,69.5,68.1,X
木幡育也|1,55,0,,0.0,,0.0,126.7,O
木幡育也|2,48,1,,2.1,,8.0,31.2,X
木幡育也|3,42,2,,4.8,,55.5,28.3,X
木幡育也|4,49,4,,8.2,,111.0,97.3,O
木幡育也|5,52,5,,9.6,,96.5,94.9,O
木幡育也|6,65,3,,4.6,,133.2,84.8,O
木幡育也|7,81,6,,7.4,,59.0,58.9,X
木幡育也|8,62,2,,3.2,,119.6,59.1,X
杉原誠人|1,116,12,,10.3,,131.6,72.3,X
杉原誠人|2,123,7,,5.7,,84.3,80.9,O
杉原誠人|3,127,11,,8.7,,153.2,139.5,O
杉原誠人|4,115,5,,4.3,,153.1,102.7,O
杉原誠人|5,132,10,,7.6,,105.9,58.8,X
杉原誠人|6,143,11,,7.7,,68.9,75.2,X
杉原誠人|7,155,10,,6.5,,79.4,108.2,O
杉原誠人|8,151,10,,6.6,,72.4,58.4,X
松山弘平|1,416,47,,11.3,,66.0,58.9,X
松山弘平|2,423,51,,12.1,,79.8,70.6,X
松山弘平|3,426,51,,12.0,,83.1,85.2,O
松山弘平|4,458,42,,9.2,,60.6,71.6,X
松山弘平|5,495,58,,11.7,,88.9,74.1,X
松山弘平|6,491,68,,13.8,,100.6,71.5,X
松山弘平|7,559,63,,11.3,,85.4,78.0,X
松山弘平|8,643,65,,10.1,,58.8,78.6,X
松岡正海|1,168,12,,7.1,,56.9,77.5,X
松岡正海|2,191,17,,8.9,,148.6,81.4,O
松岡正海|3,183,12,,6.6,,95.0,99.0,O
松岡正海|4,206,10,,4.9,,49.3,101.1,O
松岡正海|5,202,18,,8.9,,104.2,65.9,X
