segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_01_芝,pace_yoso+kyori_tekisei+umakigo_code,pace_yoso,kyori_tekisei,umakigo_code,13,8823,75.8,6.64,72.19,False
KEIBAJO_SURFACE_01_芝,pace_yoso+manken_shirushi+kyori_tekisei,pace_yoso,manken_shirushi,kyori_tekisei,18,2280,78.3,13.3,72.15,False
KEIBAJO_SURFACE_01_芝,joken_class_code+ichi_shisu_juni+umakigo_code,joken_class_code,ichi_shisu_juni,umakigo_code,30,6551,76.28,11.55,72.15,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+ichi_shisu_juni+umakigo_code,kyori_tekisei,ichi_shisu_juni,umakigo_code,38,7110,74.74,8.35,72.08,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+joken_class_code+ten_shisu_juni,kyori_kubun,joken_class_code,ten_shisu_juni,19,2486,76.72,10.38,72.05,False
KEIBAJO_SURFACE_01_芝,pace_yoso+manken_shirushi+joshodo_code,pace_yoso,manken_shirushi,joshodo_code,21,5352,76.15,9.73,71.99,False
KEIBAJO_SURFACE_01_芝,manken_shisu+joshodo_code+umakigo_code,manken_shisu,joshodo_code,umakigo_code,32,6537,74.98,8.69,71.97,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+uma_deokure_ritsu+joshodo_code,kyori_tekisei,uma_deokure_ritsu,joshodo_code,12,3720,76.25,7.61,71.95,False
KEIBAJO_SURFACE_01_芝,joken_class_code+umakigo_code+ten_shisu_juni,joken_class_code,umakigo_code,ten_shisu_juni,29,6389,75.88,10.87,71.92,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+uma_deokure_ritsu+ichi_shisu_juni,kyori_tekisei,uma_deokure_ritsu,ichi_shisu_juni,5,591,81.05,10.47,71.87,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+manken_shirushi+joken_class_code,kyori_kubun,manken_shirushi,joken_class_code,18,2258,77.82,13.0,71.81,False
KEIBAJO_SURFACE_01_芝,kyakushitsu+joshodo_code+ten_shisu_juni,kyakushitsu,joshodo_code,ten_shisu_juni,42,7912,74.76,9.78,71.8,False
KEIBAJO_SURFACE_01_芝,hizume_code+ichi_shisu_juni+joshodo_code,hizume_code,ichi_shisu_juni,joshodo_code,29,3792,75.44,10.07,71.77,False
KEIBAJO_SURFACE_01_芝,joken_class_code+kyori_tekisei+uma_deokure_ritsu,joken_class_code,kyori_tekisei,uma_deokure_ritsu,10,2473,74.69,4.73,71.76,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+uma_start_shisu+umakigo_code,kyori_tekisei,uma_start_shisu,umakigo_code,22,5147,75.54,9.1,71.74,False
KEIBAJO_SURFACE_01_芝,uma_deokure_ritsu+hizume_code+umakigo_code,uma_deokure_ritsu,hizume_code,umakigo_code,8,2375,79.47,11.17,71.73,False
KEIBAJO_SURFACE_01_芝,pace_yoso+joken_class_code+tenkai_kigo_code,pace_yoso,joken_class_code,tenkai_kigo_code,26,7976,75.52,9.94,71.7,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+class_code+joshodo_code,kyori_kubun,class_code,joshodo_code,20,6938,76.94,12.02,71.67,False
