phase,segment,combo,adoption_level,reason,total_bins,min_bin_n,median_bin_n,eff_min_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,small_headcount_sensitive,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,reviewer_comment
2,KEIBAJO_SURFACE_02_ダ,bataiju_zogen+chokyo_shisu_decile,reject,too many bins (255); combo splits data too finely,255,1,6.0,1,0.5647,0.3922,0.0,False,False,False,False,144 bins with n<10
2,KEIBAJO_SURFACE_02_ダ,gekiso_juni+kyusha_shisu_decile,reject,too many bins (140); combo splits data too finely,140,4,34.0,9,0.0929,0.8857,0.0,True,False,False,False,13 bins with n<10; 20 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,hizume_code+ten_shisu_juni,reject,too many bins (245); combo splits data too finely,245,1,7.0,1,0.5388,0.4449,0.0,True,False,False,False,132 bins with n<10; 70 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,ichi_shisu_juni+chokyo_shisu_decile,reject,too many bins (139); combo splits data too finely,139,1,31.0,6,0.1151,0.8633,0.0,True,False,False,False,16 bins with n<10; 19 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,ichi_shisu_juni+pace_shisu_juni,reject,too many bins (184); combo splits data too finely,184,1,22.0,1,0.2826,0.6957,0.0,True,False,False,False,52 bins with n<10; 20 SHS tail bins excluded from eff. check; only 184/324 possible bins observed
2,KEIBAJO_SURFACE_02_ダ,idm_decile+kijun_ninkijun_tansho,reject,too many bins (138); combo splits data too finely,138,1,30.5,1,0.2029,0.7681,0.0,False,False,False,False,28 bins with n<10
2,KEIBAJO_SURFACE_02_ダ,pace_shisu_juni+chokyo_shisu_decile,reject,too many bins (140); combo splits data too finely,140,1,35.0,5,0.1286,0.85,0.0,True,False,False,False,18 bins with n<10; 20 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,pace_shisu_juni+kishu_kitai_rentai_decile,reject,too many bins (130); combo splits data too finely,130,1,40.5,1,0.2154,0.7462,0.0,True,False,False,False,28 bins with n<10; 17 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,pace_shisu_juni+kishu_kitai_tansho_decile,reject,too many bins (130); combo splits data too finely,130,1,39.5,1,0.1923,0.7769,0.0,True,False,False,False,25 bins with n<10; 17 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,pace_shisu_juni+kishu_shisu_decile,reject,too many bins (134); combo splits data too finely,134,1,40.5,1,0.1716,0.7985,0.0,True,False,False,False,23 bins with n<10; 17 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_02_ダ,ten_shisu_juni+ichi_shisu_juni,reject,too many bins (185); combo splits data too finely,185,1,25.0,1,0.2649,0.7135,0.0,True,False,False,False,49 bins with n<10; 25 SHS tail bins excluded from eff. check; only 185/324 possible bins observed
