phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
1,GLOBAL,kishu_kitai_tansho_ritsu,41.5,271,271,47.6,81.88,82.16,271,80.07,89.85,93.29,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,42.6,270,270,47.41,79.0,80.63,270,78.89,88.15,92.62,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,42.3,140,140,43.57,77.57,77.27,140,78.57,88.5,92.47,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,32.8,51,51,45.1,110.2,113.03,51,74.51,95.29,92.45,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,40.7,289,289,42.91,80.0,78.21,289,79.24,89.9,92.35,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,29.6,84,84,34.52,78.33,83.09,84,71.43,89.76,92.12,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,26.4,113,113,24.78,71.06,70.37,113,68.14,92.21,91.96,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,35.6,67,67,37.31,75.67,78.68,67,74.63,89.55,91.69,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,33.9,70,70,34.29,79.71,73.5,70,74.29,90.86,91.6,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,25.9,120,120,25.83,79.5,78.53,120,65.83,92.33,91.3,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,28.7,62,62,32.26,84.19,84.44,62,72.58,93.71,91.24,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,41.1,115,115,46.96,82.52,83.88,115,78.26,88.26,91.2,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,23.9,314,314,28.66,92.1,89.75,314,64.65,93.95,91.16,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,28.3,79,79,31.65,76.96,81.22,79,73.42,92.03,91.16,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,34.2,121,121,34.71,74.38,76.76,121,74.38,90.91,91.08,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,41.3,99,99,54.55,92.22,93.2,99,77.78,88.28,90.96,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,42.5,327,327,45.26,77.68,77.04,327,77.37,87.86,90.8,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,40.8,112,112,41.96,73.12,74.3,112,78.57,88.48,90.69,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,37.7,72,72,43.06,77.36,81.8,72,76.39,87.22,90.49,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,35.2,80,80,35.0,77.5,74.54,80,75.0,91.12,90.27,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,34.5,81,81,41.98,89.63,94.07,81,72.84,87.9,90.26,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,27.4,93,93,30.11,82.37,80.09,93,67.74,89.14,90.22,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,25.8,95,95,24.21,79.58,76.86,95,64.21,91.26,90.06,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,39.2,58,58,41.38,76.72,76.83,58,77.59,86.55,89.64,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,40.6,152,152,44.08,79.47,79.92,152,76.97,86.58,89.6,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,31.1,538,538,38.29,91.32,94.1,538,70.07,89.5,89.48,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,29.9,62,62,38.71,99.84,101.45,62,69.35,86.45,89.26,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,36.5,77,77,35.06,74.03,75.07,77,74.03,89.09,89.26,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,42.2,253,253,43.08,78.1,77.9,253,76.28,86.56,89.15,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,36.0,62,62,40.32,76.94,80.53,62,74.19,87.26,89.14,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,29.5,64,64,31.25,77.34,78.6,64,68.75,84.06,89.12,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,34.1,87,87,33.33,78.62,76.05,87,72.41,89.2,89.06,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,15.9,432,432,19.91,96.18,98.46,432,51.39,90.14,89.05,76.03,77.17
1,GLOBAL,kishu_kitai_tansho_ritsu,30.4,159,159,32.08,76.48,78.56,159,69.18,86.48,88.99,76.03,77.17
