phase,segment,combo,total_bins,bins_1_9,bins_10_99,bins_100plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_bins_1_9,ratio_bins_10_99,ratio_bins_100plus,has_any_1digit_bin,has_any_2digit_bin
2,KEIBAJO_SURFACE_09_ダ_条件戦,manken_shirushi+ten_shisu_juni,128,0,109,19,12,151,63.7,63.5,0.0,0.8516,0.1484,False,True
2,KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+ten_shisu_juni,144,19,120,5,3,122,39.1,31.5,0.1319,0.8333,0.0347,True,True
2,KEIBAJO_SURFACE_10_ダ,uma_start_shisu+kishu_minarai_code,122,71,48,3,1,352,20.4,7.0,0.582,0.3934,0.0246,True,True
2,KEIBAJO_SURFACE_10_ダ_新馬,uma_start_shisu+ten_shisu_juni,337,212,120,5,1,127,11.7,5.0,0.6291,0.3561,0.0148,True,True
2,KEIBAJO_SURFACE_10_芝_条件戦,rotation+gekiso_juni,478,300,173,5,1,127,13.2,4.5,0.6276,0.3619,0.0105,True,True
2,KEIBAJO_SURFACE_10_芝_条件戦,pace_shisu_juni+gekiso_juni,323,83,237,3,1,153,25.1,20.0,0.257,0.7337,0.0093,True,True
2,KEIBAJO_SURFACE_10_芝_条件戦,manken_shirushi+agari_shisu_juni,144,25,115,4,1,147,34.6,31.0,0.1736,0.7986,0.0278,True,True
2,SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kishu_kitai_tansho_ritsu,838,693,142,3,1,168,6.6,2.5,0.827,0.1695,0.0036,True,True
2,SURFACE_2_芝_1勝クラス,kyakushitsu+chokyo_shisu,1457,971,483,3,1,126,8.7,7.0,0.6664,0.3315,0.0021,True,True
2,SURFACE_2_芝_1勝クラス,kyori_tekisei+chokyo_shisu,1449,920,526,3,1,122,8.7,7.0,0.6349,0.363,0.0021,True,True
2,SURFACE_2_芝_条件戦,kyori_tekisei_2+rotation,95,64,26,5,1,157,14.2,3.0,0.6737,0.2737,0.0526,True,True
2,SURFACE_2_芝_条件戦,kyori_tekisei_2+joshodo_code,11,6,2,3,1,645,122.7,9.0,0.5455,0.1818,0.2727,True,True
2,SURFACE_2_芝_条件戦,kyori_tekisei_2+class_code,26,13,9,4,1,308,51.9,10.5,0.5,0.3462,0.1538,True,True
2,SURFACE_2_芝_条件戦,gekiso_shisu+pace_shisu_juni,4422,2166,2252,4,1,112,16.2,10.0,0.4898,0.5093,0.0009,True,True
2,SURFACE_2_芝_条件戦,kyori_tekisei_2+tenkai_kigo_code,20,6,10,4,1,342,67.5,37.0,0.3,0.5,0.2,True,True
2,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_tekisei,10,2,4,4,5,619,135.0,39.0,0.2,0.4,0.4,True,True
2,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_kubun,13,2,5,6,5,360,103.8,65.0,0.1538,0.3846,0.4615,True,True
2,SURFACE_2_芝_条件戦,kyori_tekisei_2+omo_tekisei_code,8,0,3,5,28,363,168.5,138.0,0.0,0.375,0.625,False,True
