segment,factors,base_3combo,n_valid_bins,n_valid_bets,mean_corrected_roi,std_bin_roi,clb,pass,skip
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+hizume_code+prev1_kyakushitsu,goal_juni+goal_sa+hizume_code,3,398,92.63,4.82,87.17,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+manken_shirushi+shirushi_code_1,goal_juni+goal_sa+manken_shirushi,3,395,93.03,5.25,87.09,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+ichi_shisu_juni+kijun_ninkijun_tansho+shirushi_code_4,goal_juni+ichi_shisu_juni+kijun_ninkijun_tansho,3,535,89.81,2.41,87.08,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+manken_shirushi+shirushi_code_2,goal_juni+goal_sa+manken_shirushi,5,797,93.33,7.18,87.03,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+manken_shirushi+shirushi_code_4,goal_juni+goal_sa+manken_shirushi,3,352,90.04,2.66,87.02,True,False
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_fukusho+shirushi_code_4,dochu_juni+goal_juni+kijun_ninkijun_fukusho,3,488,88.77,1.56,87.01,True,False
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_fukusho+kijun_ninkijun_tansho,dochu_juni+goal_juni+kijun_ninkijun_fukusho,3,518,89.43,2.15,87.0,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+pace_yoso+prev1_bataiju_bin+yoso_juni,kijun_ninkijun_tansho+prev1_bataiju_bin+yoso_juni,3,430,92.28,4.73,86.92,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+kyi_kyusha_rank+prev1_keibajo,goal_juni+goal_sa+prev1_keibajo,4,633,89.52,2.66,86.92,True,False
KEIBAJO_SURFACE_07_ダ,bac_shubetsu+goal_juni+kijun_ninkijun_fukusho+ls_shisu_juni,bac_shubetsu+goal_juni+kijun_ninkijun_fukusho,3,455,91.21,3.8,86.91,True,False
KEIBAJO_SURFACE_08_ダ,chokyo_yajirushi_code+goal_sa+kyi_kyusha_rank+shirushi_code_2,goal_sa+kyi_kyusha_rank+shirushi_code_2,3,422,89.74,2.66,86.74,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+shirushi_code_4+yoso_juni,goal_juni+kijun_ninkijun_tansho+yoso_juni,4,933,89.05,2.36,86.74,True,False
KEIBAJO_SURFACE_08_芝,bac_jouken+goal_juni+goal_sa+kyi_kyusha_rank,bac_jouken+goal_juni+goal_sa,3,316,91.14,3.98,86.64,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho+pace_yoso,goal_juni+kijun_odds_fukusho+pace_yoso,4,529,89.72,3.14,86.64,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+manken_shirushi+shirushi_code_1,goal_juni+goal_sa+manken_shirushi,5,816,93.38,7.7,86.63,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+kyi_kyusha_rank+shirushi_code_2,goal_sa+kyi_kyusha_rank+shirushi_code_2,5,990,89.3,3.05,86.63,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+omo_tekisei_code+taikei_tomo,goal_juni+goal_sa+taikei_tomo,4,468,92.16,5.67,86.61,True,False
KEIBAJO_SURFACE_06_芝,chokyo_yajirushi_code+goal_sa+shirushi_code_2+shirushi_code_5,goal_sa+shirushi_code_2+shirushi_code_5,3,408,92.19,4.95,86.59,True,False
KEIBAJO_SURFACE_06_芝,goal_sa+kijun_ninkijun_tansho+shirushi_code_4+yoso_juni,goal_sa+kijun_ninkijun_tansho+yoso_juni,3,629,89.7,2.74,86.59,True,False
KEIBAJO_SURFACE_08_芝,chokyoshi_rank+goal_sa+hobokusaki_rank+prev2_chakujun,goal_sa+hobokusaki_rank+prev2_chakujun,3,402,91.93,4.72,86.59,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+kyi_kyusha_rank+shirushi_code_2+shirushi_code_4,goal_sa+kyi_kyusha_rank+shirushi_code_2,4,637,90.96,4.5,86.55,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+kyi_kyusha_rank+shirushi_code_2+shirushi_code_3,goal_sa+kyi_kyusha_rank+shirushi_code_2,4,592,91.17,4.74,86.52,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+prev1_corner4_bin+shirushi_code_1,goal_juni+kijun_odds_fukusho+shirushi_code_1,3,416,91.8,4.72,86.46,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+shirushi_code_1+shirushi_code_3,goal_juni+kijun_odds_fukusho+shirushi_code_1,3,520,88.97,2.23,86.44,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+manken_shirushi+shirushi_code_4,goal_juni+kijun_ninkijun_fukusho+manken_shirushi,3,382,92.92,5.75,86.42,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+pace_yoso+prev1_keibajo+wakuban,goal_sa+prev1_keibajo+wakuban,8,935,92.17,8.31,86.41,True,False
KEIBAJO_SURFACE_06_芝,goal_sa+kijun_ninkijun_fukusho+shirushi_code_4+yoso_juni,goal_sa+kijun_ninkijun_fukusho+yoso_juni,3,623,89.5,2.77,86.37,True,False
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_tansho+shirushi_code_4,dochu_juni+goal_juni+kijun_ninkijun_tansho,3,497,88.56,1.96,86.34,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+kyi_kyusha_rank+shirushi_code_1+shirushi_code_2,goal_sa+kyi_kyusha_rank+shirushi_code_2,4,842,90.06,3.82,86.31,True,False
