segment,factors,base_3combo,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,n_subsets_evaluated,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+prev1_bataiju_bin+shirushi_code_3+yoso_juni,kijun_ninkijun_tansho+prev1_bataiju_bin+yoso_juni,88.52,85.16,4,6282,79.76,79.49,79.93,79.49,True,pass,True,77.1,5.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+kyi_kyusha_rank+shirushi_code_6,goal_juni+goal_sa+kyi_kyusha_rank,88.51,82.86,6,6414,82.9,75.82,76.66,75.82,True,pass,True,89.33,8.0,3.0,True,pass,14,88.97,-0.46,False,no_cross_gain,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+hobokusaki_rank+prev2_chakujun,goal_sa+hobokusaki_rank+prev2_chakujun,88.35,84.7,4,6414,74.86,75.22,75.84,74.86,True,pass,False,,,,True,no_shirushi_auto_pass,14,87.81,0.54,True,pass,True
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+joa_ls_shisu+shirushi_code_2,goal_juni+goal_sa+shirushi_code_2,88.33,75.43,5,7800,77.8,79.05,80.3,77.8,True,pass,True,65.28,5.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_08_芝,gekiso_juni+goal_juni+goal_sa+shirushi_code_2,gekiso_juni+goal_juni+goal_sa,88.32,82.98,4,6414,82.39,78.52,79.03,78.52,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kyori+kyori_tekisei+yoso_juni,goal_juni+kyori_tekisei+yoso_juni,88.29,81.83,5,6282,75.75,73.86,77.19,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,14,84.99,3.3,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+ichi_shisu_juni+kijun_ninkijun_fukusho+shirushi_code_1,goal_juni+ichi_shisu_juni+kijun_ninkijun_fukusho,88.26,81.49,2,6282,77.75,79.24,78.8,77.75,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+shirushi_code_2+shirushi_code_4,kijun_odds_fukusho+shirushi_code_2+shirushi_code_4,88.26,77.8,3,6282,80.87,81.0,80.27,80.27,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+kyori_tekisei+shirushi_code_1,goal_juni+goal_sa+kyori_tekisei,88.17,83.82,6,7800,77.26,77.93,78.54,77.26,True,pass,True,70.56,5.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_4,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho,88.15,80.84,5,6282,80.03,78.18,78.51,78.18,True,pass,True,73.44,8.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
