segment,factors,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_07_ダ,ichi_shisu_juni+kijun_ninkijun_fukusho+yoso_juni,85.28,79.77,4,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,71.86,13.42,True,pass,True
KEIBAJO_SURFACE_01_芝,bataiju_change_bin+gekiso_juni+manken_shirushi,85.23,76.31,2,3102,78.37,76.94,74.98,74.98,True,pass,False,,,,True,no_shirushi_auto_pass,73.91,11.32,True,pass,True
KEIBAJO_SURFACE_08_芝,bac_shubetsu+gekiso_juni+goal_sa,85.23,78.75,7,6414,74.86,74.51,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,74.11,11.12,True,pass,True
KEIBAJO_SURFACE_02_芝,goal_juni+goal_sa+kyori_tekisei,85.19,80.74,4,2257,74.39,73.3,75.59,73.3,True,pass,False,,,,True,no_shirushi_auto_pass,78.89,6.3,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kyi_kyusha_rank+yoso_juni,85.17,86.54,6,6282,75.75,73.92,74.72,73.92,True,pass,False,,,,True,no_shirushi_auto_pass,70.82,14.35,True,pass,True
KEIBAJO_SURFACE_10_芝,bac_shubetsu+goal_juni+rotation,85.13,75.68,4,4996,72.85,74.61,73.56,72.85,True,pass,False,,,,True,no_shirushi_auto_pass,72.06,13.07,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+kijun_ninkijun_fukusho+wakuban,85.13,85.8,7,6647,74.03,75.25,73.12,73.12,True,pass,False,,,,True,no_shirushi_auto_pass,71.8,13.33,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+pace_yoso+yoso_juni,85.13,84.25,8,6647,74.03,75.25,73.12,73.12,True,pass,False,,,,True,no_shirushi_auto_pass,73.99,11.14,True,pass,True
KEIBAJO_SURFACE_03_ダ,prev1_chakujun+shutoku_shokin_ruikei+yoso_juni,85.07,79.07,3,3276,74.13,74.38,72.33,72.33,True,pass,False,,,,True,no_shirushi_auto_pass,74.26,10.81,True,pass,True
KEIBAJO_SURFACE_08_芝,gekiso_juni+goal_juni+prev1_kyakushitsu,85.06,77.65,11,6414,75.52,74.55,75.04,74.55,True,pass,False,,,,True,no_shirushi_auto_pass,69.78,15.28,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kyori_tekisei+yoso_juni,84.99,76.9,16,6282,75.75,73.86,77.19,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,69.7,15.29,True,pass,True
KEIBAJO_SURFACE_01_ダ,goal_juni+goal_sa+ls_shisu_juni,84.94,76.87,3,2167,75.19,75.9,75.45,75.19,True,pass,False,,,,True,no_shirushi_auto_pass,75.43,9.51,True,pass,True
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+prev1_kyakushitsu,84.93,76.17,19,7800,74.18,74.22,74.34,74.18,True,pass,False,,,,True,no_shirushi_auto_pass,71.93,13.0,True,pass,True
